title	author	group	year	seq
Sophistical Refutations	Aristotle	8	-322	93
Physics	Aristotle	8	-350	94
On the Heavens	Aristotle	8	-350	95
On Generation and Corruption	Aristotle	8	-322	96
Meteorology	Aristotle	8	-340	97
Metaphysics	Aristotle	8	-322	98
On the Soul	Aristotle	8	-350	99
Minor biological works	Aristotle	8	-322	100
On Sense and the Sensible	Aristotle	8	-322	101
On Memory and Reminisence	Aristotle	8	-350	102
On Sleep and Sleeplessness	Aristotle	8	-322	103
On Dreams	Aristotle	8	-322	104
On Prophesying by Dreams	Aristotle	8	-322	105
On Longevity and Shortness of Life	Aristotle	8	-322	106
On Youth and Old Age, On Life and Death, On Breathing	Aristotle	8	-322	107
History of Animals	Aristotle	9	-322	108
Parts of Animals	Aristotle	9	-350	109
On the Motion of Animals	Aristotle	9	-322	110
On the Gait of Animals	Aristotle	9	-322	111
On the Generation of Animals	Aristotle	9	-322	112
Nicomachean Ethics	Aristotle	9	-322	113
Politics	Aristotle	9	-322	114
The Athenian Constitution	Aristotle	9	-322	115
Rhetoric	Aristotle	9	-322	116
Poetics	Aristotle	9	-335	117
The Hippocratic Oath	Hippocrates	10	-370	118
On Ancient Medicine	Hippocrates	10	-400	119
On Airs, Water, and Places	Hippocrates	10	-400	120
The Book of Prognostics	Hippocrates	10	-400	121
On Regimen in Acute Diseases	Hippocrates	10	-400	122
Of the Epidemics	Hippocrates	10	-400	123
On Injuries of the Head	Hippocrates	10	-400	124
On the Surgery	Hippocrates	10	-400	125
On Fractures	Hippocrates	10	-400	126
On the Articulations	Hippocrates	10	-400	127
Instruments of Reduction	Hippocrates	10	-400	128
Aphorisms	Hippocrates	10	-400	129
The Law	Hippocrates	10	-400	130
The Ulcer	Hippocrates	10	-400	131
On Fistulae	Hippocrates	10	-400	132
On Hemorrhoids	Hippocrates	10	-400	133
On the Sacred Disease	Hippocrates	10	-400	134
On the Natural Faculties	Galen	10	199	135
The Thirteen Books of Euclid's Elements	Euclid	11	-300	136
On the Sphere and Cylinder	Archimedes	11	-225	137
Measurement of a Circle	Archimedes	11	-250	138
On Conoids and Spheroids	Archimedes	11	-212	139
On Spirals	Archimedes	11	-225	140
On the Equilibrium of Planes	Archimedes	11	-212	141
The Sand Reckoner	Archimedes	11	-212	142
The Quadrature of the Parabola	Archimedes	11	-212	143
On Floating Bodies	Archimedes	11	-212	144
Book of Lemmas	Archimedes	11	-212	145
The Method Treating of Mechanical Problems	Archimedes	11	-212	146
On Conic Sections	Apollonius of Perga	11	-190	147
Introduction to Arithmetic	Nicomachus of Gerasa	11	120	148
On the Nature of Things	Lucretius	12	1473	149
The Discourses	Epictetus	12	108	150
The Meditations	Marcus Aurelius	12	180	151
Eclogues	Virgil	13	-38	152
Georgics	Virgil	13	-29	153
Aeneid	Virgil	13	-19	154
The Lives of the Noble Grecians and Romans	Plutarch	14	100	155
